chopped_rank,position,position_rank,player,previous_rank,rank_change,survival_score_gain,score_mc_se,survival_weeks_gain,championship_lift_pct,start_when_alive_available_pct,late_start_when_alive_available_pct,expected_original_team_starts,expected_original_team_points,paired_trials,team,bye,baseline_half_ppr_points,ir_note,news_snapshot,source_url
33,TE,2,Trey McBride,19,-14,1.125,0.235,1.031,1.17,94.9,61.2,8.19,100.36,512,ARI,14,199.96,,,
34,WR,10,Rashee Rice,21,-13,1.123,0.228,1.17,-0.59,92.3,58.1,7.65,103.22,512,KC,5,224.61,,,
35,RB,21,Bhayshul Tuten,50,15,1.121,0.24,0.996,1.56,76,26.8,6.98,83.84,512,JAC,7,192.17,,,
36,RB,22,Rico Dowdle,87,51,1.1,0.204,0.912,2.34,60.8,11.2,5.37,57.1,512,PIT,9,163.91,,,
37,WR,11,Justin Jefferson,23,-14,1.08,0.212,1.018,0.78,92.1,56.1,7.3,99.24,512,MIN,6,223.09,,,
38,TE,3,Tyler Warren,61,23,1.07,0.239,0.852,2.73,77.9,34.2,6.84,69.12,512,IND,13,159.71,,,
39,RB,23,David Montgomery,63,24,1.07,0.244,0.742,4.1,72,18.8,6.39,73.19,512,HOU,8,180.44,,,
40,WR,12,Garrett Wilson,47,7,1.057,0.228,0.854,2.54,87.4,44.5,7.85,96.28,512,NYJ,13,194.56,,,
41,QB,3,Jalen Hurts,38,-3,1.051,0.245,0.801,3.13,71.3,37.5,6.21,144.21,512,PHI,10,361.74,,,
42,RB,24,Bucky Irving,39,-3,1.012,0.254,0.98,0.39,83,36.2,7.23,90.14,512,TB,10,203.39,,,
43,RB,25,Chuba Hubbard,96,53,1.006,0.231,0.803,2.54,51.5,6.5,4.46,45.44,512,CAR,5,158.81,,,
44,QB,4,Matthew Stafford,46,2,0.922,0.258,0.719,2.54,62.6,33.3,5.59,121,512,LAR,11,353.35,,,
45,DST,1,Houston Texans,81,36,0.898,0.292,0.727,2.15,80.4,53,7.21,71.58,512,HOU,8,120.3,,,
46,QB,5,Dak Prescott,41,-5,0.883,0.261,0.82,0.78,65.5,27.5,5.87,130.35,512,DAL,14,356.42,,,
47,RB,26,Tony Pollard,75,28,0.869,0.235,0.807,0.78,68.6,16.8,5.59,61.36,512,TEN,9,171.94,,,
48,RB,27,MarShawn Lloyd,106,58,0.844,0.224,0.719,1.56,61.7,4.5,5.57,63.52,512,GB,11,146.41,,Immediate GB lead-back opportunity; extreme durability/role range,https://www.fantasypros.com/nfl/projections/marshawn-lloyd.php
49,DST,2,Denver Broncos,68,19,0.813,0.27,0.672,1.76,83.9,59.7,7.86,84.66,512,DEN,10,118.3,,,
50,QB,6,Joe Burrow,35,-15,0.791,0.267,0.729,0.78,74.1,45.1,6.31,144.71,512,CIN,6,366.06,,,
51,WR,13,Tee Higgins,59,8,0.791,0.223,0.682,1.37,77.6,28.7,6.59,75.77,512,CIN,6,186.14,,,
52,WR,14,Zay Flowers,40,-12,0.775,0.235,0.713,0.78,86.3,32.9,7.54,90.04,512,BAL,13,201.2,,,
53,WR,15,Jameson Williams,65,12,0.773,0.223,0.68,1.17,76.3,28.5,6.33,71.83,512,DET,6,185.17,,,
54,QB,7,Drake Maye,34,-20,0.748,0.243,0.686,0.78,74.8,45.2,6.29,143.21,512,NE,11,368.58,,,
55,WR,16,Tetairoa McMillan,54,-1,0.748,0.211,0.701,0.59,79.9,26.5,6.41,73.99,512,CAR,5,193,,,
56,WR,17,Emeka Egbuka,55,-1,0.73,0.24,0.59,1.76,80.7,32.5,7.11,82.57,512,TB,10,191.58,,,
57,QB,8,Jaxson Dart,56,-1,0.721,0.243,0.799,-0.98,50.8,23.8,4.39,96.57,512,NYG,8,343.37,,,
58,WR,18,Ladd McConkey,66,8,0.703,0.216,0.672,0.39,77.4,25.8,6.46,71.93,512,LAC,7,180.81,,,
59,QB,9,Jayden Daniels,42,-17,0.691,0.273,0.613,0.98,65.9,34.7,5.56,125.57,512,WAS,7,359.22,,,
60,QB,10,Patrick Mahomes II,48,-12,0.682,0.237,0.619,0.78,54,26.1,4.46,95.49,512,KC,5,347.72,,,
61,QB,11,Justin Herbert,60,-1,0.66,0.238,0.426,2.93,48.4,29.4,4.08,89.62,512,LAC,7,340.19,,,
62,QB,12,Brock Purdy,49,-13,0.645,0.246,0.598,0.59,56.6,25.5,4.94,107.45,512,SF,8,348.49,,,
63,TE,4,Kyle Pitts Sr.,64,1,0.637,0.22,0.668,-0.39,72.9,30.2,6.32,64.11,512,ATL,11,155.84,,,
64,WR,19,Malik Nabers,44,-20,0.633,0.226,0.648,-0.2,85.8,38,7.38,90.52,512,NYG,8,199.82,,,
65,K,1,Ka'imi Fairbairn,115,50,0.629,0.264,0.645,-0.2,76.3,40.6,6.75,60.29,512,HOU,8,144.1,,,
66,WR,20,DeVonta Smith,52,-14,0.621,0.236,0.652,-0.39,83.6,35.5,7.15,84.99,512,PHI,10,192.8,,,
67,WR,21,Davante Adams,57,-10,0.615,0.228,0.678,-0.78,79.5,29.5,6.86,78.13,512,LAR,11,187.82,,,
68,TE,5,Colston Loveland,45,-23,0.609,0.233,0.641,-0.39,84.5,46.3,7.37,79.38,512,CHI,10,172.1,,,
69,RB,28,Jaylen Warren,71,2,0.604,0.229,0.65,-0.59,68,12.6,5.93,64.55,512,PIT,9,176.25,,,
70,WR,22,Jaylen Waddle,78,8,0.604,0.208,0.541,0.78,71.3,20.3,5.98,65.44,512,DEN,10,172.96,,,
71,TE,6,Harold Fannin Jr.,70,-1,0.6,0.226,0.521,0.98,72.8,32.9,6.32,61.76,512,CLE,11,151.78,,,
72,TE,7,Tucker Kraft,74,2,0.592,0.215,0.576,0.2,69.7,21.9,6.15,57.84,512,GB,11,147.93,,,
73,QB,13,Bo Nix,62,-11,0.584,0.262,0.443,1.76,50.9,24.5,4.69,101.62,512,DEN,10,340.96,,,
74,TE,8,Dalton Kincaid,110,36,0.572,0.192,0.4,2.15,47.2,17.3,3.99,34.91,512,BUF,7,131.83,,,
75,WR,23,Luther Burden III,77,2,0.566,0.211,0.395,2.15,70.1,17.6,5.72,61.53,512,CHI,10,171.68,,,
76,WR,24,Christian Watson,90,14,0.545,0.202,0.311,2.93,58.8,12.9,5.02,52.44,512,GB,11,165.84,,,
77,DST,3,Philadelphia Eagles,105,28,0.537,0.261,0.381,1.95,62,29.7,5.45,48.42,512,PHI,10,102.6,,,
78,K,2,Evan McPherson,165,87,0.529,0.217,0.451,0.98,55.4,20.4,4.66,38.07,512,CIN,6,128.7,,,
79,QB,14,Bryce Young,146,67,0.5,0.233,0.313,2.34,32.4,6,2.83,50.94,512,CAR,5,287.87,,,
80,QB,15,Baker Mayfield,83,3,0.496,0.249,0.387,1.37,39.3,13.2,3.63,75.02,512,TB,10,321.1,,,
81,RB,29,RJ Harvey,119,38,0.494,0.222,0.541,-0.59,41.5,6.1,3.69,35.58,512,DEN,10,144.64,,,
82,WR,25,Rome Odunze,73,-9,0.475,0.25,0.303,2.15,70.1,16.7,5.89,61.92,512,CHI,10,173.87,,,
83,K,3,Jason Myers,107,24,0.469,0.261,0.406,0.78,84.2,46.2,7.53,69.88,512,SEA,11,150.4,,,
84,RB,30,Rhamondre Stevenson,85,1,0.467,0.226,0.529,-0.78,60.3,10.4,5.48,57.18,512,NE,11,168.75,,,
85,RB,31,Aaron Jones Sr.,145,60,0.461,0.21,0.43,0.39,36.6,2.1,3.17,27.77,512,MIN,6,141.03,,,
86,RB,32,Blake Corum,163,77,0.445,0.183,0.352,1.17,31.7,2.7,2.74,22.83,512,LAR,11,132.34,,,
87,WR,26,DJ Moore,79,-8,0.438,0.213,0.453,-0.2,67.4,16.7,5.7,61.21,512,BUF,7,174.01,,,
88,RB,33,TreVeyon Henderson,72,-16,0.436,0.236,0.389,0.59,67.3,11.6,6.11,67.43,512,NE,11,175.2,,,
89,RB,34,J.K. Dobbins,86,-3,0.436,0.221,0.264,2.15,57.7,11.9,5.25,55.6,512,DEN,10,166.55,,,
90,DST,4,Detroit Lions,137,47,0.428,0.284,0.459,-0.39,56.7,26.6,5.05,40.07,512,DET,6,106.8,,,
91,RB,35,Kyle Monangai,121,30,0.424,0.224,0.408,0.2,44.1,4.7,3.79,36.29,512,CHI,10,144.88,,,
92,DST,5,Jacksonville Jaguars,153,61,0.422,0.261,0.297,1.56,44.2,13.6,3.8,29.84,512,JAC,7,99.9,,,
93,WR,27,Alec Pierce,82,-11,0.418,0.233,0.418,0,66.1,18.4,5.86,64.08,512,IND,13,168.11,,,
94,K,4,Cairo Santos,150,56,0.402,0.234,0.371,0.39,64.2,22.6,5.78,48.21,512,CHI,10,133.3,,,
95,QB,16,Daniel Jones,89,-6,0.395,0.237,0.473,-0.98,35.3,14.8,3.2,64.85,512,IND,13,310.12,,,
96,QB,17,Tyler Shough,91,-5,0.385,0.236,0.229,1.95,37,12.9,3.17,64.47,512,NO,8,319.55,,,
97,QB,18,Sam Darnold,103,6,0.367,0.237,0.289,0.98,39.7,13.5,3.56,71.19,512,SEA,11,308.02,,,
98,WR,28,Courtland Sutton,92,-6,0.365,0.223,0.318,0.59,61.7,13,5.29,54.87,512,DEN,10,164.97,,,
99,K,5,Brandon Aubrey,100,1,0.365,0.242,0.553,-2.34,88.1,32.1,8.24,79.08,512,DAL,14,153,,,
100,WR,29,DK Metcalf,97,-3,0.354,0.206,0.26,1.17,56.9,11.1,4.82,48.26,512,PIT,9,163.16,,,
101,TE,9,T.J. Hockenson,175,74,0.354,0.179,0.197,1.95,24.9,4,2.19,16.48,512,MIN,6,108.8,,,
102,WR,30,Jakobi Meyers,134,32,0.35,0.188,0.162,2.34,38.3,5,3.21,30.03,512,JAC,7,144.79,,,
103,DST,6,New England Patriots,120,17,0.344,0.271,0.297,0.59,53.7,25.4,4.89,41.03,512,NE,11,99.6,,,
104,WR,31,Rashod Bateman,198,94,0.326,0.141,0.201,1.56,7.2,0.2,0.64,5.09,512,BAL,13,114.86,,,
105,QB,19,Trevor Lawrence,53,-52,0.322,0.26,0.338,-0.2,54,24.5,4.43,95.98,512,JAC,7,347.13,,,
106,RB,36,Kenny Gainwell,129,23,0.318,0.189,0.318,0,42.8,4.3,3.65,33.05,512,TB,10,143.46,,,
107,TE,10,Dalton Schultz,168,61,0.318,0.196,0.256,0.78,30.9,3.3,2.8,20.72,512,HOU,8,115.77,,,
108,TE,11,Brenton Strange,130,22,0.316,0.212,0.301,0.2,40.5,8.4,3.46,28.68,512,JAC,7,121.52,,,
109,K,6,Eddy Pineiro,133,24,0.316,0.242,0.348,-0.39,66.4,31.6,5.9,50.33,512,SF,8,132.6,,,
110,TE,12,Jake Ferguson,111,1,0.311,0.213,0.232,0.98,48.5,6.5,4.34,37.3,512,DAL,14,130.19,,,
111,WR,32,Ja'Kobi Lane,203,92,0.309,0.119,0.23,0.98,4.9,0,0.43,3.64,512,BAL,13,106.48,,,
112,QB,20,Jordan Love,102,-10,0.305,0.259,0.242,0.78,36.2,9.6,3.31,65.17,512,GB,11,310.74,,,
113,WR,33,Terry McLaurin,67,-46,0.299,0.226,0.283,0.2,73.1,23.8,5.93,65.77,512,WAS,7,175.58,,,
114,WR,34,Romeo Doubs,174,60,0.297,0.15,0.234,0.78,18.7,1.7,1.64,14.01,512,NE,11,128.83,,,
115,DST,7,Los Angeles Rams,98,-17,0.295,0.278,0.482,-2.34,71.3,34.2,6.6,61.88,512,LAR,11,108,,,
116,DST,8,New Orleans Saints,122,6,0.295,0.26,0.186,1.37,52.4,26.1,4.76,38.51,512,NO,8,100.9,,,
117,QB,21,C.J. Stroud,116,-1,0.293,0.239,0.402,-1.37,31.6,6.2,2.7,51.26,512,HOU,8,296.22,,,
118,QB,22,Caleb Williams,51,-67,0.281,0.235,0.344,-0.78,55.9,32.4,4.9,108.14,512,CHI,10,346.94,,,
119,DST,9,Pittsburgh Steelers,126,7,0.27,0.272,0.207,0.78,67.6,26.1,5.88,47.84,512,PIT,9,111.9,,,
120,RB,37,Jordan Mason,157,37,0.27,0.194,0.16,1.37,32.9,3.3,2.69,23.46,512,MIN,6,137.63,,,
121,WR,35,Michael Wilson,132,11,0.266,0.17,0.219,0.59,35.9,0.4,3.16,28.67,512,ARI,14,143.06,,,
122,TE,13,Mark Andrews,99,-23,0.248,0.208,0.217,0.39,55.7,11.1,4.88,41.75,512,BAL,13,137.3,,,
123,TE,14,Travis Kelce,88,-35,0.246,0.208,0.262,-0.2,63.4,31,5.19,49.09,512,KC,5,144.22,,,
124,K,7,Cam Little,151,27,0.23,0.243,0.324,-1.17,63.4,31.2,5.58,46.9,512,JAC,7,131.5,,,
125,WR,36,Michael Pittman Jr.,118,-7,0.221,0.196,0.158,0.78,47.1,11.4,3.81,36.25,512,PIT,9,150.26,,,
126,WR,37,Mike Evans,84,-42,0.217,0.211,0.248,-0.39,64.6,14.9,5.22,54.16,512,SF,8,170.38,,,
127,DST,10,Chicago Bears,164,37,0.215,0.241,0.168,0.59,47.1,8.6,4.15,30.65,512,CHI,10,101,,,
128,WR,38,Marvin Harrison Jr.,95,-33,0.213,0.206,0.15,0.78,59.4,9.1,5.19,52.71,512,ARI,14,163.55,,,
129,RB,38,Jadarian Price,69,-60,0.211,0.233,0.273,-0.78,65.4,13.8,5.57,61.29,512,SEA,11,176.93,,,
130,TE,15,Kenyon Sadiq,184,54,0.211,0.153,0.164,0.59,23.1,1.2,2.07,14.34,512,NYJ,13,102.71,,,
131,RB,39,Alvin Kamara,191,60,0.207,0.159,0.145,0.78,17.6,0.7,1.5,11.08,512,NO,8,114.29,,,
132,QB,23,Kyler Murray,101,-31,0.203,0.234,0.281,-0.98,30.7,8.2,2.61,51.51,512,MIN,6,313.39,,,
133,QB,24,Jared Goff,58,-75,0.201,0.247,0.186,0.2,48.9,27.3,4.25,91.54,512,DET,6,341.14,,,
134,K,8,Tyler Loop,144,10,0.197,0.246,0.229,-0.39,67.8,14.4,6.08,51.36,512,BAL,13,132.1,,,
135,K,9,Harrison Butker,142,7,0.195,0.252,0.227,-0.39,61.5,26.5,5.08,44.24,512,KC,5,131.9,,,
136,TE,16,Sam LaPorta,76,-60,0.188,0.211,0.203,-0.2,70.2,36.3,5.57,53.98,512,DET,6,149.19,,,
137,RB,40,Jonathon Brooks,124,-13,0.184,0.198,0.262,-0.98,39.2,6,3.27,31.41,512,CAR,5,143.63,,,
138,TE,17,Hunter Henry,140,2,0.184,0.197,0.199,-0.2,37.6,7.5,3.24,25.84,512,NE,11,122.72,,,
139,WR,39,Quentin Johnston,139,0,0.182,0.205,0.338,-1.95,36,5.9,3.04,28.76,512,LAC,7,143.12,,,
140,WR,40,Jayden Reed,125,-15,0.176,0.193,0.207,-0.39,37.5,6.3,3.19,28.55,512,GB,11,144.61,,,
141,K,10,Wil Lutz,159,18,0.172,0.237,0.25,-0.98,60,20.1,5.17,42.75,512,DEN,10,128.5,,,
142,DST,11,Kansas City Chiefs,155,13,0.168,0.274,0.137,0.39,22.3,13.6,1.9,15.55,512,KC,5,93.2,,,
143,WR,41,Chris Olave,31,-112,0.162,0.236,0.146,0.2,90.8,50,7.18,91.95,512,NO,8,212.34,,,
144,K,11,Chase McLaughlin,141,-3,0.162,0.232,0.068,1.17,65.2,24.3,5.59,46.95,512,TB,10,132.9,,,
145,WR,42,Jalen Coker,178,33,0.16,0.165,0.16,0,16.4,2.8,1.38,11.88,512,CAR,5,127.5,,,
146,K,12,Will Reichard,158,12,0.146,0.241,0.053,1.17,60,26.9,5.15,43.19,512,MIN,6,130.7,,,
147,RB,41,Tank Bigsby,228,81,0.146,0.107,0.068,0.98,3.1,0,0.27,1.66,512,PHI,10,80.57,,,
148,RB,42,Jacory Croskey-Merritt,143,-5,0.145,0.202,0.113,0.39,36.7,2.3,3.06,28.22,512,WAS,7,139.67,,,
149,TE,18,Isaiah Likely,104,-45,0.141,0.215,0.063,0.98,52.8,19.1,4.48,38.66,512,NYG,8,133.32,,,
150,RB,43,Chris Rodriguez Jr.,209,59,0.133,0.132,0.102,0.39,7,0,0.6,3.92,512,JAC,7,93.06,,,
151,TE,19,Pat Freiermuth,183,32,0.131,0.182,0.021,1.37,26.3,2,2.26,15.18,512,PIT,9,107.9,,,
152,WR,43,Keenan Allen,176,24,0.127,0.157,0.064,0.78,17.6,1.4,1.47,12.38,512,IND,13,128.5,,,
153,RB,44,Samaje Perine,221,68,0.125,0.105,0.109,0.2,4.2,0,0.36,1.94,512,CIN,6,87.5,,,
154,DST,12,Green Bay Packers,169,15,0.121,0.29,0.23,-1.37,26.6,8.6,2.35,17.19,512,GB,11,95.3,,,
155,DST,13,Seattle Seahawks,93,-62,0.117,0.251,0.117,0,70.5,25.3,6.4,56.85,512,SEA,11,110.9,,,
156,RB,45,Woody Marks,196,40,0.117,0.185,0.18,-0.78,14.4,0.2,1.26,8.47,512,HOU,8,112.77,,,
157,TE,20,Dallas Goedert,80,-77,0.115,0.226,0.162,-0.59,66.9,19,5.69,54.39,512,PHI,10,146.84,,,
158,RB,46,Ty Johnson,227,69,0.107,0.1,0.045,0.78,3.3,0,0.29,1.41,512,BUF,7,83.8,,,
159,WR,44,Jauan Jennings,205,46,0.104,0.117,0.119,-0.2,6,0.7,0.51,4.07,512,MIN,6,109.92,,,
160,RB,47,Isiah Pacheco,204,44,0.098,0.145,0.051,0.59,10.4,0,0.86,6.2,512,DET,6,105.37,,,
161,WR,45,Parker Washington,108,-53,0.096,0.2,0.08,0.2,53.4,10.1,4.22,41.65,512,JAC,7,152.91,,,
162,WR,46,Khalil Shakir,177,15,0.092,0.174,0.029,0.78,20.6,2,1.64,13.55,512,BUF,7,129.83,,,
163,WR,47,Antonio Williams,222,59,0.092,0.035,0.092,0,1,0,0.08,0.45,512,WAS,7,86.14,,,
164,WR,48,Chris Godwin Jr.,138,-26,0.09,0.186,0.199,-1.37,33.3,5,2.94,27.31,512,TB,10,141.92,,,
165,TE,21,Terrance Ferguson,199,34,0.09,0.169,0.043,0.59,21.5,1.3,1.86,12.38,512,LAR,11,98.73,,,
166,DST,14,Minnesota Vikings,114,-52,0.086,0.275,0.055,0.39,64.5,29.1,5.62,46.01,512,MIN,6,112.8,,,
167,WR,49,Jerry Jeudy,195,28,0.074,0.141,0.027,0.59,9.3,0.3,0.8,6.63,512,CLE,11,118.29,,,
168,RB,48,Dylan Sampson,213,45,0.074,0.125,0.09,-0.2,5.8,0,0.51,3.15,512,CLE,11,90.47,,,
169,TE,22,Cade Otton,187,18,0.072,0.185,0.135,-0.78,21.4,2,1.83,11.97,512,TB,10,101.58,,,
170,RB,49,Justice Hill,210,40,0.07,0.136,0.055,0.2,6.8,0,0.59,3.65,512,BAL,13,95.66,,,
171,RB,50,Zach Charbonnet,200,29,0.066,0.149,0.02,0.59,16.5,0.8,1.38,10.13,512,SEA,11,113.1,,,
172,WR,50,Jayden Higgins,189,17,0.064,0.137,0.08,-0.2,11.7,1.4,0.98,8.21,512,HOU,8,120.11,,,
173,WR,51,Dontayvion Wicks,230,57,0.059,0.076,0.043,0.2,1.1,0,0.1,0.77,512,PHI,10,88.13,,,
174,RB,51,Josh Jacobs,170,-4,0.049,0.103,-0.045,1.17,76.4,49,1.47,20.41,512,GB,11,230.61,Exempt IR eligibility assumed true; no fixed return date,Commissioner's Exempt List; modeled return Weeks 5/9/13 or miss season,https://www.nfl.com/news/nfl-places-packers-rb-josh-jacobs-commissioner-exempt-list
175,RB,52,Adam Randall,237,62,0.049,0.029,0.049,0,0.9,0,0.08,0.28,512,BAL,13,61.76,,,
176,WR,52,Jalen Nailor,206,30,0.043,0.121,0.012,0.39,4.6,0,0.39,2.76,512,LV,13,108.42,,,
177,TE,23,George Kittle,94,-83,0.039,0.21,0.039,0,60.9,21.7,5.13,46.49,512,SF,8,142.29,,,
178,WR,53,Troy Franklin,219,41,0.039,0.056,0.023,0.2,0.9,0,0.07,0.46,512,DEN,10,81.85,,,
179,RB,53,Audric Estime,248,69,0.039,0.035,0.023,0.2,0.1,0,0.01,0.01,512,NO,8,22.1,,,
180,RB,54,Bam Knight,252,72,0.029,0.019,0.029,0,0,0,0,0,512,ARI,14,0,,,
181,RB,55,Keaton Mitchell,236,55,0.027,0.11,0.059,-0.39,2.8,0,0.23,1.07,512,LAC,7,76.68,,,
182,RB,56,Andrew Beck,249,67,0.027,0.022,0.027,0,0.1,0,0.01,0.01,512,NYJ,13,12.48,,,
183,WR,54,Josh Downs,166,-17,0.023,0.155,0.133,-1.37,26.7,1.1,2.32,21.22,512,IND,13,132.93,,,
184,WR,55,Rashid Shaheed,171,-13,0.023,0.172,0.117,-1.17,20.3,1.8,1.82,16.28,512,SEA,11,132.37,,,
185,RB,57,Rachaad White,128,-57,0.02,0.203,0.066,-0.59,41.7,3.7,3.49,33.22,512,WAS,7,145.68,,,
186,RB,58,Emari Demercado,235,49,0.02,0.043,-0.012,0.39,1.7,0,0.14,0.56,512,KC,5,74.47,,,
187,RB,59,Kaleb Johnson,225,38,0.018,0.013,0.018,0,0.6,0,0.05,0.13,512,GB,11,45,,Traded to GB as backfield insurance; contingency value behind Lloyd,https://www.packers.com/news/5-things-learned-from-gm-brian-gutekunst-about-packers-roster-sep-1-2026
188,WR,56,Stefon Diggs,172,-16,0.01,0.163,0.057,-0.59,22.9,3.1,1.97,17.11,512,WAS,7,133.12,,,
189,RB,60,Tyrone Tracy Jr.,201,12,0.01,0.164,0.01,0,12.3,0.3,1.05,6.94,512,NYG,8,106.01,,,
190,WR,57,Kayshon Boutte,217,27,0.008,0.086,-0.008,0.2,2,0,0.18,1.1,512,NE,11,92.35,,,
191,RB,61,Jawhar Jordan,241,50,0.008,0.008,0.008,0,0.2,0,0.02,0.06,512,HOU,8,44.5,,,
192,RB,62,Adam Prentice,251,59,0.008,0.012,0.008,0,0,0,0,0,512,DEN,10,8.58,,,
193,RB,63,Kyle Juszczyk,246,53,0.006,0.006,0.006,0,0.2,0,0.02,0.04,512,SF,8,43.18,,,
194,WR,58,Malik Washington,224,30,0.002,0.088,0.033,-0.39,1.5,0,0.12,0.82,512,MIA,6,89.3,,,
195,WR,59,Bub Means,231,36,0.002,0.087,0.002,0,0.9,0,0.08,0.37,512,NO,8,87.5,,,
196,RB,64,Emanuel Wilson,239,43,0.002,0.005,0.002,0,0.7,0,0.06,0.15,512,SEA,11,47.31,,,
197,WR,60,Germie Bernard,229,32,-0.004,0.054,-0.004,0,1.6,0,0.13,0.79,512,PIT,9,88.45,,,
198,RB,65,Malik Davis,240,42,-0.01,0.017,-0.01,0,0.2,0,0.02,0.04,512,DAL,14,44.65,,,
199,RB,66,Alec Ingold,250,51,-0.012,0.02,-0.012,0,0,0,0,0,512,LAC,7,12.28,,,
200,WR,61,Brian Thomas Jr.,113,-87,-0.014,0.208,-0.076,0.78,47.2,5.6,3.88,37.48,512,JAC,7,152.39,,,
201,WR,62,Caleb Douglas,233,32,-0.014,0.057,0.002,-0.2,1.2,0,0.1,0.63,512,MIA,6,85.69,,,
202,RB,67,Jaydon Blue,247,45,-0.014,0.035,0.002,-0.2,0.5,0,0.05,0.14,512,DAL,14,50.02,,,
203,RB,68,Braelon Allen,212,9,-0.018,0.102,-0.033,0.2,5.4,0,0.47,2.63,512,NYJ,13,89.73,,,
