Date,Game,League,,,,,,,
1/17/2027,aDAL,NBA,,,,,,,
12/22/2026,aDEN,NBA,,,,,,,
3/27/2027,aDEN,NBA,,,,,,,
11/5/2026,aDET,NBA,,,,,,,
11/24/2026,aGSW,NBA,,,,,,,
1/3/2027,aGSW,NBA,,,,,,,
2/23/2027,aHOU,NBA,,,,,,,
4/3/2027,aHOU,NBA,,,,,,,
2/3/2027,aIND,NBA,,,,,,,
1/1/2027,aLAC,NBA,,,,,,,
11/18/2026,aLAL,NBA,,,,,,,
4/11/2027,aLAL,NBA,,,,,,,
2/20/2027,aMEM,NBA,,,,,,,
2/9/2027,aMIA,NBA,,,,,,,
3/7/2027,aMIL,NBA,,,,,,,
11/7/2026,aMIN,NBA,,,,,,,
3/18/2027,aMIN,NBA,,,,,,,
4/7/2027,aNOP,NBA,,,,,,,
12/5/2026,aNYK,NBA,,,,,,,
1/7/2027,aOKC,NBA,,,,,,,
4/5/2027,aOKC,NBA,,,,,,,
2/7/2027,aORL,NBA,,,,,,,
3/4/2027,aPHI,NBA,,,,,,,
10/31/2026,aPHX,NBA,,,,,,,
3/28/2027,aPHX,NBA,,,,,,,
1/5/2027,aPOR,NBA,,,,,,,
3/13/2027,aPOR,NBA,,,,,,,
10/24/2026,aSAC,NBA,,,,,,,
3/15/2027,aSAC,NBA,,,,,,,
12/27/2026,aSAS,NBA,,,,,,,
1/19/2027,aSAS,NBA,,,,,,,
12/12/2026,aTBD,NBA,,,,,,,
11/13/2026,ATL,NBA,,,,,,,
2/1/2027,aTOR,NBA,,,,,,,
3/5/2027,aWAS,NBA,,,,,,,
1/30/2027,BKN,NBA,,,,,,,
12/30/2026,BOS,NBA,,,,,,,
1/10/2027,CHA,NBA,,,,,,,
11/16/2026,CHI,NBA,,,,,,,
3/30/2027,CLE,NBA,,,,,,,
1/8/2027,DAL,NBA,,,,,,,
3/2/2027,DEN,NBA,,,,,,,
4/1/2027,DEN,NBA,,,,,,,
12/26/2026,DET,NBA,,,,,,,
1/28/2027,GSW,NBA,,,,,,,
3/9/2027,GSW,NBA,,,,,,,
11/30/2026,HOU,NBA,,,,,,,
12/1/2026,HOU,NBA,,,,,,,
11/11/2026,IND,NBA,,,,,,,
10/22/2026,LAC,NBA,,,,,,,
1/27/2027,LAC,NBA,,,,,,,
11/23/2026,LAL,NBA,,,,,,,
12/18/2026,LAL,NBA,,,,,,,
12/23/2026,MEM,NBA,,,,,,,
4/10/2027,MEM,NBA,,,,,,,
1/31/2027,MIA,NBA,,,,,,,
3/19/2027,MIL,NBA,,,,,,,
11/10/2026,MIN,NBA,,,,,,,
1/20/2027,MIN,NBA,,,,,,,
2/26/2027,NOP,NBA,,,,,,,
2/28/2027,NOP,NBA,,,,,,,
3/11/2027,NYK,NBA,,,,,,,
11/21/2026,OKC,NBA,,,,,,,
12/7/2026,OKC,NBA,,,,,,,
12/20/2026,ORL,NBA,,,,,,,
3/21/2027,PHI,NBA,,,,,,,
10/27/2026,PHX,NBA,,,,,,,
10/29/2026,POR,NBA,,,,,,,
2/12/2027,POR,NBA,,,,,,,
11/28/2026,SAC,NBA,,,,,,,
2/11/2027,SAC,NBA,,,,,,,
1/22/2027,SAS,NBA,,,,,,,
12/14/2026,TBD,NBA,,,,,,,
3/23/2027,TOR,NBA,,,,,,,
3/25/2027,WAS,NBA,,,,,,,
