team,edition,jersey_color,shorts_color,trim_color,accent_color,wordmark_color,number_color,number_outline_color,player_name_color,stripe_style,shorts_stripe_style,collar_style,wordmark,wordmark_font,font_family,font_path,number,player_name,number_outline_width,trim_width,logo_team,shorts_logo_scale,show_shorts_logo,show_league_mark,show_jersey_logo,jersey_logo_x,jersey_logo_y,jersey_logo_scale,front_number_x,front_number_y,template_version,front_wordmark_size,front_number_size,back_name_size,back_number_size,front_wordmark_x,front_wordmark_y,back_name_x,back_name_y,back_number_x,back_number_y
Austin,Icon,#040404,#040404,#BB8549,#FFFFFF,#FFFFFF,#FFFFFF,#BB8549,#FFFFFF,Double side,Double side,Crew,AUSTIN,Austin,Creepster,,27,PLAYER,4,3.4,Austin,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Austin,Statement,#BB8549,#BB8549,#040404,#FFFFFF,#FFFFFF,#FFFFFF,#040404,#FFFFFF,Sash,Chevron,Crew,,Austin,Creepster,,27,PLAYER,4,3.4,Austin,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Baltimore,Association,#FFFFFF,#FFFFFF,#00CED1,#FBF5E1,#00CED1,#00CED1,#00CED1,#00CED1,Side panels,Side panels,Crew,BLUE CRABS,SBC League,Bungee,,27,PLAYER,4,3.4,Baltimore,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Baltimore,Icon,#00CED1,#00CED1,#FBF5E1,#FFFFFF,#FFFFFF,#FFFFFF,#FBF5E1,#FFFFFF,Double side,Double side,Crew,BALTIMORE,Baltimore,Lobster,,27,PLAYER,4,3.4,Baltimore,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Baltimore,Statement,#FBF5E1,#FBF5E1,#00CED1,#FFFFFF,#FFFFFF,#FFFFFF,#00CED1,#FFFFFF,Sash,Chevron,Crew,,Baltimore,Lobster,,27,PLAYER,4,3.4,Baltimore,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Birmingham,Association,#FFFFFF,#FFFFFF,#853500,#EA2507,#853500,#853500,#853500,#853500,Side panels,Side panels,Crew,BANDITS,SBC League,Bungee,,27,PLAYER,4,3.4,Birmingham,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Birmingham,Icon,#853500,#853500,#EA2507,#FFFFFF,#FFFFFF,#FFFFFF,#EA2507,#FFFFFF,Double side,Double side,Crew,BIRMINGHAM,Birmingham,Rye,,27,PLAYER,4,3.4,Birmingham,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Birmingham,Statement,#EA2507,#EA2507,#853500,#FFFFFF,#FFFFFF,#FFFFFF,#853500,#FFFFFF,Sash,Chevron,Crew,,Birmingham,Rye,,27,PLAYER,4,3.4,Birmingham,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Boise,Association,#FFFFFF,#FFFFFF,#744529,#EAD676,#744529,#744529,#744529,#744529,Side panels,Side panels,Crew,SPUDS,SBC League,Bungee,,27,PLAYER,4,3.4,Boise,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Boise,Icon,#744529,#744529,#EAD676,#FFFFFF,#FFFFFF,#FFFFFF,#EAD676,#FFFFFF,Double side,Double side,Crew,BOISE,Boise,Neucha,,27,PLAYER,4,3.4,Boise,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Boise,Statement,#EAD676,#EAD676,#744529,#FFFFFF,#FFFFFF,#FFFFFF,#744529,#FFFFFF,Sash,Chevron,Crew,,Boise,Neucha,,27,PLAYER,4,3.4,Boise,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Buffalo,Association,#FFFFFF,#FFFFFF,#152238,#FFDE3A,#152238,#152238,#152238,#152238,Side panels,Side panels,Crew,DAREDEVILS,SBC League,Bungee,,27,PLAYER,4,3.4,Buffalo,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Buffalo,Icon,#152238,#152238,#FFDE3A,#FFFFFF,#FFFFFF,#FFFFFF,#FFDE3A,#FFFFFF,Double side,Double side,Crew,BUFFALO,Buffalo,Teko,,27,PLAYER,4,3.4,Buffalo,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Buffalo,Statement,#FFDE3A,#FFDE3A,#152238,#FFFFFF,#FFFFFF,#FFFFFF,#152238,#FFFFFF,Sash,Chevron,Crew,,Buffalo,Teko,,27,PLAYER,4,3.4,Buffalo,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Cincinnati,Association,#FFFFFF,#FFFFFF,#FFEA61,#D2691E,#FFEA61,#FFEA61,#FFEA61,#FFEA61,Side panels,Side panels,Crew,CHILI,SBC League,Bungee,,27,PLAYER,4,3.4,Cincinnati,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Cincinnati,Icon,#FFEA61,#FFEA61,#D2691E,#FFFFFF,#FFFFFF,#FFFFFF,#D2691E,#FFFFFF,Double side,Double side,Crew,CINCINNATI,Cincinnati,Satisfy,,27,PLAYER,4,3.4,Cincinnati,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Cincinnati,Statement,#D2691E,#D2691E,#FFEA61,#FFFFFF,#FFFFFF,#FFFFFF,#FFEA61,#FFFFFF,Sash,Chevron,Crew,,Cincinnati,Satisfy,,27,PLAYER,4,3.4,Cincinnati,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Columbus,Association,#FFFFFF,#FFFFFF,#CD7F32,#666666,#CD7F32,#CD7F32,#CD7F32,#CD7F32,Side panels,Side panels,Crew,ARCHES,SBC League,Bungee,,27,PLAYER,4,3.4,Columbus,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Columbus,Icon,#CD7F32,#CD7F32,#666666,#FFFFFF,#FFFFFF,#FFFFFF,#666666,#FFFFFF,Double side,Double side,Crew,COLUMBUS,Columbus,Arvo,,27,PLAYER,4,3.4,Columbus,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Columbus,Statement,#666666,#666666,#CD7F32,#FFFFFF,#FFFFFF,#FFFFFF,#CD7F32,#FFFFFF,Sash,Chevron,Crew,,Columbus,Arvo,,27,PLAYER,4,3.4,Columbus,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Des Moines,Association,#FFFFFF,#FFFFFF,#1B1E23,#F7F7EE,#1B1E23,#1B1E23,#1B1E23,#1B1E23,Side panels,Side panels,Crew,RACOONS,SBC League,Bungee,,27,PLAYER,4,3.4,Des Moines,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Des Moines,Icon,#1B1E23,#1B1E23,#F7F7EE,#FFFFFF,#FFFFFF,#FFFFFF,#F7F7EE,#FFFFFF,Double side,Double side,Crew,DES MOINES,Des Moines,Cabin Sketch,,27,PLAYER,4,3.4,Des Moines,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Des Moines,Statement,#F7F7EE,#F7F7EE,#1B1E23,#FFFFFF,#FFFFFF,#FFFFFF,#1B1E23,#FFFFFF,Sash,Chevron,Crew,,Des Moines,Cabin Sketch,,27,PLAYER,4,3.4,Des Moines,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
El Paso,Association,#FFFFFF,#FFFFFF,#F8EFAE,#2A623D,#F8EFAE,#F8EFAE,#F8EFAE,#F8EFAE,Side panels,Side panels,Crew,VIPERS,SBC League,Bungee,,27,PLAYER,4,3.4,El Paso,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
El Paso,Icon,#F8EFAE,#F8EFAE,#2A623D,#FFFFFF,#FFFFFF,#FFFFFF,#2A623D,#FFFFFF,Double side,Double side,Crew,EL PASO,El Paso,Pathway Gothic One,,27,PLAYER,4,3.4,El Paso,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
El Paso,Statement,#2A623D,#2A623D,#F8EFAE,#FFFFFF,#FFFFFF,#FFFFFF,#F8EFAE,#FFFFFF,Sash,Chevron,Crew,,El Paso,Pathway Gothic One,,27,PLAYER,4,3.4,El Paso,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Honolulu,Association,#FFFFFF,#FFFFFF,#CDC0C0,#FAFBF5,#CDC0C0,#CDC0C0,#CDC0C0,#CDC0C0,Side panels,Side panels,Crew,DIAMONDS,SBC League,Bungee,,27,PLAYER,4,3.4,Honolulu,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Honolulu,Icon,#CDC0C0,#CDC0C0,#FAFBF5,#FFFFFF,#FFFFFF,#FFFFFF,#FAFBF5,#FFFFFF,Double side,Double side,Crew,HONOLULU,Honolulu,Dancing Script,,27,PLAYER,4,3.4,Honolulu,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Honolulu,Statement,#FAFBF5,#FAFBF5,#CDC0C0,#FFFFFF,#FFFFFF,#FFFFFF,#CDC0C0,#FFFFFF,Sash,Chevron,Crew,,Honolulu,Dancing Script,,27,PLAYER,4,3.4,Honolulu,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Jacksonville,Association,#FFFFFF,#FFFFFF,#36454F,#B0E0E6,#36454F,#36454F,#36454F,#36454F,Side panels,Side panels,Crew,MANATEES,SBC League,Bungee,,27,PLAYER,4,3.4,Jacksonville,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Jacksonville,Icon,#36454F,#36454F,#B0E0E6,#FFFFFF,#FFFFFF,#FFFFFF,#B0E0E6,#FFFFFF,Double side,Double side,Crew,JACKSONVILLE,Jacksonville,Pacifico,,27,PLAYER,4,3.4,Jacksonville,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Jacksonville,Statement,#B0E0E6,#B0E0E6,#36454F,#FFFFFF,#FFFFFF,#FFFFFF,#36454F,#FFFFFF,Sash,Chevron,Crew,,Jacksonville,Pacifico,,27,PLAYER,4,3.4,Jacksonville,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Kentucky,Association,#FFFFFF,#FFFFFF,#663399,#FFFF00,#663399,#663399,#663399,#663399,Side panels,Side panels,Crew,THOROUGHBREDS,SBC League,Bungee,,27,PLAYER,4,3.4,Kentucky,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Kentucky,Icon,#663399,#663399,#FFFF00,#FFFFFF,#FFFFFF,#FFFFFF,#FFFF00,#FFFFFF,Double side,Double side,Crew,KENTUCKY,Kentucky,Playfair Display,,27,PLAYER,4,3.4,Kentucky,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Kentucky,Statement,#FFFF00,#FFFF00,#663399,#FFFFFF,#FFFFFF,#FFFFFF,#663399,#FFFFFF,Sash,Chevron,Crew,,Kentucky,Playfair Display,,27,PLAYER,4,3.4,Kentucky,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lansing,Association,#FFFFFF,#FFFFFF,#B9EFE1,#197419,#B9EFE1,#B9EFE1,#B9EFE1,#B9EFE1,Side panels,Side panels,Crew,LAGOON,SBC League,Bungee,,27,PLAYER,4,3.4,Lansing,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lansing,Icon,#B9EFE1,#B9EFE1,#197419,#FFFFFF,#FFFFFF,#FFFFFF,#197419,#FFFFFF,Double side,Double side,Crew,LANSING,Lansing,Ubuntu,,27,PLAYER,4,3.4,Lansing,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lansing,Statement,#197419,#197419,#B9EFE1,#FFFFFF,#FFFFFF,#FFFFFF,#B9EFE1,#FFFFFF,Sash,Chevron,Crew,,Lansing,Ubuntu,,27,PLAYER,4,3.4,Lansing,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lincoln,Association,#FFFFFF,#FFFFFF,#FC6A03,#1520A6,#FC6A03,#FC6A03,#FC6A03,#FC6A03,Side panels,Side panels,Crew,BULLY,SBC League,Bungee,,27,PLAYER,4,3.4,Lincoln,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lincoln,Icon,#FC6A03,#FC6A03,#1520A6,#FFFFFF,#FFFFFF,#FFFFFF,#1520A6,#FFFFFF,Double side,Double side,Crew,LINCOLN,Lincoln,Bebas Neue,,27,PLAYER,4,3.4,Lincoln,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Lincoln,Statement,#1520A6,#1520A6,#FC6A03,#FFFFFF,#FFFFFF,#FFFFFF,#FC6A03,#FFFFFF,Sash,Chevron,Crew,,Lincoln,Bebas Neue,,27,PLAYER,4,3.4,Lincoln,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Little Rock,Association,#FFFFFF,#FFFFFF,#710193,#E39FF6,#710193,#710193,#710193,#710193,Side panels,Side panels,Crew,BIG FOOT,SBC League,Bungee,,27,PLAYER,4,3.4,Little Rock,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Little Rock,Icon,#710193,#710193,#E39FF6,#FFFFFF,#FFFFFF,#FFFFFF,#E39FF6,#FFFFFF,Double side,Double side,Crew,LITTLE ROCK,Little Rock,Alfa Slab One,,27,PLAYER,4,3.4,Little Rock,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Little Rock,Statement,#E39FF6,#E39FF6,#710193,#FFFFFF,#FFFFFF,#FFFFFF,#710193,#FFFFFF,Sash,Chevron,Crew,,Little Rock,Alfa Slab One,,27,PLAYER,4,3.4,Little Rock,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Manchester,Association,#FFFFFF,#FFFFFF,#D7F2FA,#C20700,#D7F2FA,#D7F2FA,#D7F2FA,#D7F2FA,Side panels,Side panels,Crew,TROUT,SBC League,Bungee,,27,PLAYER,4,3.4,Manchester,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Manchester,Icon,#D7F2FA,#D7F2FA,#C20700,#FFFFFF,#FFFFFF,#FFFFFF,#C20700,#FFFFFF,Double side,Double side,Crew,MANCHESTER,Manchester,Quicksand,,27,PLAYER,4,3.4,Manchester,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Manchester,Statement,#C20700,#C20700,#D7F2FA,#FFFFFF,#FFFFFF,#FFFFFF,#D7F2FA,#FFFFFF,Sash,Chevron,Crew,,Manchester,Quicksand,,27,PLAYER,4,3.4,Manchester,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Nashville,Association,#FFFFFF,#FFFFFF,#450012,#93A9AE,#450012,#450012,#450012,#450012,Side panels,Side panels,Crew,STRINGS,SBC League,Bungee,,27,PLAYER,4,3.4,Nashville,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Nashville,Icon,#450012,#450012,#93A9AE,#FFFFFF,#FFFFFF,#FFFFFF,#93A9AE,#FFFFFF,Double side,Double side,Crew,NASHVILLE,Nashville,Tangerine,,27,PLAYER,4,3.4,Nashville,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Nashville,Statement,#93A9AE,#93A9AE,#450012,#FFFFFF,#FFFFFF,#FFFFFF,#450012,#FFFFFF,Sash,Chevron,Crew,,Nashville,Tangerine,,27,PLAYER,4,3.4,Nashville,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Pittsburgh,Association,#FFFFFF,#FFFFFF,#F1F137,#32322C,#F1F137,#F1F137,#F1F137,#F1F137,Side panels,Side panels,Crew,BRIDGE,SBC League,Bungee,,27,PLAYER,4,3.4,Pittsburgh,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Pittsburgh,Icon,#F1F137,#F1F137,#32322C,#FFFFFF,#FFFFFF,#FFFFFF,#32322C,#FFFFFF,Double side,Double side,Crew,PITTSBURGH,Pittsburgh,Roboto Slab,,27,PLAYER,4,3.4,Pittsburgh,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Pittsburgh,Statement,#32322C,#32322C,#F1F137,#FFFFFF,#FFFFFF,#FFFFFF,#F1F137,#FFFFFF,Sash,Chevron,Crew,,Pittsburgh,Roboto Slab,,27,PLAYER,4,3.4,Pittsburgh,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Providence,Association,#FFFFFF,#FFFFFF,#BF0A30,#1C2E4A,#BF0A30,#BF0A30,#BF0A30,#BF0A30,Side panels,Side panels,Crew,PILGRIMS,SBC League,Bungee,,27,PLAYER,4,3.4,Providence,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Providence,Icon,#BF0A30,#BF0A30,#1C2E4A,#FFFFFF,#FFFFFF,#FFFFFF,#1C2E4A,#FFFFFF,Double side,Double side,Crew,PROVIDENCE,Providence,IM Fell English,,27,PLAYER,4,3.4,Providence,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Providence,Statement,#1C2E4A,#1C2E4A,#BF0A30,#FFFFFF,#FFFFFF,#FFFFFF,#BF0A30,#FFFFFF,Sash,Chevron,Crew,,Providence,IM Fell English,,27,PLAYER,4,3.4,Providence,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
San Diego,Association,#FFFFFF,#FFFFFF,#31439B,#0BB5FF,#31439B,#31439B,#31439B,#31439B,Side panels,Side panels,Crew,SEALS,SBC League,Bungee,,27,PLAYER,4,3.4,San Diego,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
San Diego,Icon,#31439B,#31439B,#0BB5FF,#FFFFFF,#FFFFFF,#FFFFFF,#0BB5FF,#FFFFFF,Double side,Double side,Crew,SAN DIEGO,San Diego,Comfortaa,,27,PLAYER,4,3.4,San Diego,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
San Diego,Statement,#0BB5FF,#0BB5FF,#31439B,#FFFFFF,#FFFFFF,#FFFFFF,#31439B,#FFFFFF,Sash,Chevron,Crew,,San Diego,Comfortaa,,27,PLAYER,4,3.4,San Diego,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
San Jose,Association,#FFFFFF,#FFFFFF,#97EBF4,#EDFF21,#97EBF4,#97EBF4,#97EBF4,#97EBF4,Side panels,Side panels,Crew,SEAGULLS,SBC League,Bungee,,27,PLAYER,4,3.4,San Jose,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
San Jose,Icon,#97EBF4,#97EBF4,#EDFF21,#FFFFFF,#FFFFFF,#FFFFFF,#EDFF21,#FFFFFF,Double side,Double side,Crew,SAN JOSE,San Jose,Indie Flower,,27,PLAYER,4,3.4,San Jose,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
